,0
3,0.8783269961977186
4,0.8745247148288974
5,0.8517110266159695
6,0.9188846641318125
7,0.9416983523447402
8,0.9480354879594424
9,0.9619771863117871
10,0.9695817490494296
11,0.9695817490494296
12,0.9885931558935361
13,0.991128010139417
14,0.9885931558935361
15,0.991128010139417
16,0.9746514575411914
17,0.9797211660329531
18,0.9860583016476553
19,0.9695817490494296
20,0.9759188846641318
21,0.9885931558935361
22,0.9873257287705957
23,0.9885931558935361
24,0.9860583016476553
25,0.9809885931558935
26,0.9860583016476553
27,0.9873257287705957
28,0.9885931558935361
29,0.9949302915082383
30,0.9949302915082383
31,0.9898605830164765
32,0.991128010139417
33,0.9923954372623575
34,0.9936628643852978
35,0.9949302915082383
36,0.9961977186311787
37,0.9961977186311787
38,0.9961977186311787
39,0.9961977186311787
40,0.9961977186311787
41,0.9961977186311787
42,0.9961977186311787
43,0.9961977186311787
44,0.9961977186311787
45,0.9961977186311787
46,0.9961977186311787
47,0.9974651457541192
48,0.9974651457541192
49,0.9974651457541192
50,0.9974651457541192
51,0.9974651457541192
52,0.9974651457541192
53,0.9974651457541192
54,0.9974651457541192
55,0.9974651457541192
56,0.9974651457541192
57,0.9961977186311787
58,0.9974651457541192
59,0.9974651457541192
60,0.9974651457541192
61,0.9961977186311787
62,0.9949302915082383
63,0.9949302915082383
64,0.9961977186311787
65,0.9961977186311787
66,0.9961977186311787
67,0.9961977186311787
68,0.9949302915082383
69,0.9949302915082383
70,0.9949302915082383
71,0.9949302915082383
72,0.9949302915082383
73,0.9949302915082383
74,0.9949302915082383
75,0.9949302915082383
76,0.9949302915082383
77,0.9936628643852978
78,0.9936628643852978
79,0.9936628643852978
80,0.9949302915082383
81,0.9949302915082383
82,0.9949302915082383
83,0.9949302915082383
84,0.9949302915082383
85,0.9949302915082383
86,0.9923954372623575
87,0.9923954372623575
88,0.9923954372623575
89,0.9923954372623575
90,0.9923954372623575
91,0.9923954372623575
92,0.9923954372623575
93,0.9885931558935361
94,0.9885931558935361
95,0.9898605830164765
96,0.9873257287705957
97,0.9885931558935361
98,0.9860583016476553
99,0.9835234474017744
